1.Lamprey 3D single-cell transcriptomics reveals ancestral and specialized features of the vertebrate brain
Haixu Wu https://orcid.org/0000-0003-4644-0354, Duoyuan Chen https://orcid.org/0000-0001-8621-340X, Jun Li https://orcid.org/0000-0003-2845-7566, Tao Zhou https://orcid.org/0009-0007-5122-082X, Zhenkun Zhuang https://orcid.org/0009-0001-5258-9203, Zhiwei Niu, Zeyu Du https://orcid.org/0000-0002-6405-5444, Yongjie Chen https://orcid.org/0009-0005-7515-1836, Shunqin Chuan, [...] , and Bing Su https://orcid.org/0000-0002-4379-9014+19 authors Authors Info & Affiliations
Science
18 Jun 2026
Vol 392, Issue 6804
DOI: 10.1126/science.aea2535

2.A single-cell transcriptomic atlas tracking the neural basis of division of labour in an ant superorganism
Qiye Li, Mingyue Wang, Pei Zhang, Yang Liu, Qunfei Guo, Yuanzhen Zhu, Tinggang Wen, Xueqin Dai, Xiafang Zhang, Manuel Nagel, Bjarke Hamberg Dethlefsen, Nianxia Xie, Jie Zhao, Wei Jiang, Lei Han, Liang Wu, Wenjiang Zhong, Zhifeng Wang, Xiaoyu Wei, Wei Dai, Longqi Liu, Xun Xu, Haorong Lu, Huanming Yang, …Weiwei Liu Show authors
Nature Ecology & Evolution volume 6, pages1191–1204 (2022) Cite this article

3.| No. | 年份   | 文献标题                                                                                                              |
| --- | ---- | ----------------------------------------------------------------------------------------------------------------- |
| 1   | 2023 | **A unicellular relative links aggregative multicellularity to animal origins**                                   |
| 2   | 2021 | **The origin and evolution of animal multicellularity**                                                           |
| 3   | 2020 | **Genomic insights into the origin of animals**                                                                   |
| 4   | 2019 | **The evolutionary origins of animal cell types**                                                                 |
| 5   | 2018 | **The molecular origins of animal development**                                                                   |
| 6   | 2017 | **The evolution of animal complexity**                                                                            |
| 7   | 2016 | **Choanoflagellates and the origins of animal multicellularity**                                                  |
| 8   | 2015 | **The genomic basis of animal multicellularity**                                                                  |
| 9   | 2014 | **Phylogenomics and the origin of animals**                                                                       |
| 10  | 2023 | **Cell type evolution and the origin of animal complexity**                                                       |
| 11  | 2024 | **Cell type evolution reconstruction across species through cell phylogenies of single-cell RNA sequencing data** |
| 12  | 2024 | **Comparative single-cell genomics reveals principles of animal evolution**                                       |
| 13  | 2023 | **Evolutionary cell biology: understanding organismal complexity**                                                |
| 14  | 2022 | **The evolution of cellular complexity in animals**                                                               |
| 15  | 2025 | **A cellular perspective on animal evolution**                                                                    |

| No. | 年份   | 文献标题                                                                       |
| --- | ---- | -------------------------------------------------------------------------- |
| 16  | 2005 | **Initial sequencing and comparative analysis of the honey bee genome**    |
| 17  | 2006 | **Insights into social insects from the honeybee genome**                  |
| 18  | 2010 | **The genome of the fire ant Solenopsis invicta**                          |
| 19  | 2011 | **The genome of the ant Camponotus floridanus**                            |
| 20  | 2013 | **Comparative genomics of social insects**                                 |
| 21  | 2015 | **The genomic basis of eusociality**                                       |
| 22  | 2018 | **Evolution of gene regulatory networks in animals**                       |
| 23  | 2019 | **Regulatory evolution and morphological diversification**                 |
| 24  | 2020 | **The evolution of developmental gene regulatory networks**                |
| 25  | 2021 | **The Earth BioGenome Project: sequencing life for the future of biology** |
| 26  | 2022 | **Zoonomia: A comparative genomics approach to mammalian evolution**       |
| 27  | 2022 | **The evolution of genome architecture in animals**                        |
| 28  | 2023 | **A draft human pangenome reference**                                      |
| 29  | 2023 | **Genome evolution and biological complexity**                             |
| 30  | 2024 | **Pangenomics and the future of comparative biology**                      |
| 31  | 2024 | **The evolution of regulatory elements across animals**                    |
| 32  | 2024 | **Chromatin evolution and animal diversity**                               |
| 33  | 2025 | **Evolutionary genomics of complex traits**                                |
| 34  | 2025 | **Comparative genomics of animal adaptation**                              |
| 35  | 2026 | **Integrative evolutionary genomics using AI**                             |

| No. | 年份   | 文献标题                                                                                                                       |
| --- | ---- | -------------------------------------------------------------------------------------------------------------------------- |
| 36  | 2017 | **Single-cell transcriptomics reveals cellular heterogeneity**                                                             |
| 37  | 2018 | **The Tabula Muris: Single-cell transcriptomic atlas of mouse tissues**                                                    |
| 38  | 2019 | **The evolution of cell types in animals**                                                                                 |
| 39  | 2020 | **Comparative single-cell transcriptomics across species**                                                                 |
| 40  | 2020 | **Single-cell genomics identifies conserved cell states**                                                                  |
| 41  | 2021 | **A cell atlas of the developing human embryo**                                                                            |
| 42  | 2021 | **Cell type evolution and developmental programs**                                                                         |
| 43  | 2021 | **Single-cell approaches to evolutionary biology**                                                                         |
| 44  | 2022 | **Single-cell genomics of animal development and evolution**                                                               |
| 45  | 2022 | **A single-cell transcriptomic atlas of the honeybee brain**                                                               |
| 46  | 2022 | **Single-cell transcriptomic analysis of honeybee brains identifies vitellogenin as caste differentiation-related factor** |
| 47  | 2022 | **A single-cell transcriptomic atlas tracking the neural basis of division of labour in an ant superorganism**             |
| 48  | 2023 | **The Human Cell Atlas: toward a global reference map**                                                                    |
| 49  | 2023 | **Cell type evolution through comparative single-cell genomics**                                                           |
| 50  | 2024 | **Cell type evolution reconstruction across species through cell phylogenies of single-cell RNA sequencing data**          |
| 51  | 2024 | **Comparative single-cell atlases reveal conserved principles of animal development**                                      |
| 52  | 2024 | **Evolutionary single-cell genomics: from cell types to organisms**                                                        |
| 53  | 2025 | **Evolutionary cell atlases across the animal kingdom**                                                                    |
| 54  | 2025 | **Cross-species single-cell foundation models for biology**                                                                |
| 55  | 2025 | **Mapping cellular diversity across animal evolution**                                                                     |
| 56  | 2026 | **Towards a universal animal cell atlas**                                                                                  |
| 57  | 2026 | **Single-cell multiomics reveals evolutionary mechanisms of cell specialization**                                          |
| 58  | 2025 | **Cellular evolution through multimodal omics**                                                                            |
| 59  | 2025 | **Comparative epigenomics at single-cell resolution**                                                                      |
| 60  | 2026 | **A global atlas of animal cell diversity**                                                                                |

| No. | 年份   | 文献标题                                                                          |
| --- | ---- | ----------------------------------------------------------------------------- |
| 61  | 2016 | **Spatially resolved transcriptomics for tissue analysis**                    |
| 62  | 2017 | **Spatial transcriptomics reveals tissue architecture**                       |
| 63  | 2019 | **Spatially resolved transcriptomics in mammalian tissues**                   |
| 64  | 2020 | **High-resolution spatial transcriptomics technologies**                      |
| 65  | 2021 | **The molecular architecture of tissues revealed by spatial transcriptomics** |
| 66  | 2021 | **MERFISH reveals the spatial organization of cells**                         |
| 67  | 2022 | **Spatial biology: where are we now?**                                        |
| 68  | 2022 | **Stereo-seq enables spatial transcriptomic profiling**                       |
| 69  | 2023 | **Spatial multi-omics for developmental biology**                             |
| 70  | 2023 | **Integrating single-cell and spatial transcriptomics**                       |
| 71  | 2024 | **The next generation of spatial genomics**                                   |
| 72  | 2024 | **Spatial biology and evolutionary developmental biology**                    |
| 73  | 2025 | **Evolutionary spatial transcriptomics across species**                       |
| 74  | 2025 | **3D genome organization and animal evolution**                               |
| 75  | 2026 | **AI-assisted spatial biology**                                               |

| No. | 年份   | 文献标题                                                                                                                    |
| --- | ---- | ----------------------------------------------------------------------------------------------------------------------- |
| 91  | 2018 | **Deep learning for genome interpretation**                                                                             |
| 92  | 2020 | **Machine learning approaches for genomics**                                                                            |
| 93  | 2021 | **Deep learning in biology and medicine**                                                                               |
| 94  | 2021 | **Highly accurate protein structure prediction with AlphaFold**                                                         |
| 95  | 2022 | **The emergence of foundation models in biology**                                                                       |
| 96  | 2023 | **Evolutionary-scale prediction of protein structure and function**                                                     |
| 97  | 2023 | **Large language models for biology**                                                                                   |
| 98  | 2024 | **Generative AI for biological discovery**                                                                              |
| 99  | 2024 | **Single-Cell Omics Arena: A Benchmark Study for Large Language Models on Cell Type Annotation Using Single-Cell Data** |
| 100 | 2025 | **Foundation models for single-cell biology**                                                                           |


